NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
20117,2117,"Liberty Lines Express, Inc.",Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"1,406,549 ","2,114,616 ",,,,,,,,,,,,,,,,,,,,,,,
20120,2120,City of Glens Falls ,Inactive,Building Reporter,33598,"Glens Falls, NY",DR,DO,Bus,,"17,179 ",,"16,646 ","15,762 ","13,739 ","14,959 ","15,146 ","14,078 ","15,068 ",,,,,,,,,,,,,,,
20120,2120,City of Glens Falls ,Inactive,Building Reporter,33598,"Glens Falls, NY",MB,DO,Bus,,"208,913 ",,"207,430 ","292,842 ","215,435 ","229,434 ","305,808 ","329,739 ","335,810 ",,,,,,,,,,,,,,,
20120,2120,City of Glens Falls ,Inactive,Building Reporter,33598,"Glens Falls, NY",OR,DO,Other,,,,"40,978 ",,,,,,,,,,,,,,,,,,,,,
20122,2122,"Academy Lines, Inc.",Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CB,DO,Bus,,,,,,,,,,,,"8,920,522 ","8,726,984 ","8,694,567 ","8,628,815 ","8,877,386 ","8,843,647 ","8,372,453 ","3,354,204 ","2,539,594 ","2,701,376 ","2,312,042 ","2,460,422 ","2,528,045 ","604,366 "
20122,2122,"Academy Lines, Inc.",Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"8,749,153 ","8,855,420 ","8,459,461 ","7,921,176 ","6,376,586 ","7,965,497 ","7,915,272 ","7,809,270 ","7,940,862 ","7,770,421 ","8,041,292 ",,,,,,,,,,,,,,
20126,2126,Shortline Transit LLC,Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CB,DO,Bus,,,,,,,,,,,,"9,488,777 ","9,363,788 ","9,447,524 ","9,472,407 ","9,578,820 ","9,399,351 ","9,873,939 ","3,369,249 ","2,673,109 ","3,913,235 ","4,265,602 ","4,293,693 ","4,388,061 ","986,707 "
20126,2126,Shortline Transit LLC,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"7,394,847 ","7,573,893 ","7,696,948 ","8,613,053 ","6,788,584 ","8,566,181 ","8,502,414 ","8,553,816 ","8,245,518 ","8,829,223 ","9,131,381 ",,,,,,,,,,,,,,
20128,2128,Suburban Transit Lines LLC,Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CB,DO,Bus,,,,,,,,,,,,"4,241,193 ","4,039,561 ","4,025,537 ","3,794,644 ","3,898,006 ","3,500,750 ","3,267,349 ","1,271,679 ","833,714 ","1,186,581 ","1,583,721 ","1,700,795 ","1,513,480 ","323,234 "
20128,2128,Suburban Transit Lines LLC,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"7,635,910 ","7,842,909 ","6,660,062 ","6,728,396 ","5,913,220 ","5,889,190 ","6,243,047 ","5,531,511 ","5,089,198 ","5,740,788 ","5,591,724 ",,,,,,,,,,,,,,
20132,2132,New Jersey Transit Corporation-45,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"1,169,403 ","1,154,250 ","985,885 ","1,166,045 ","938,595 ","974,609 ","989,692 ","1,119,638 ","1,540,092 ","1,046,824 ","1,029,147 ","1,079,382 ","1,225,252 ",,,,,,,,,,,,
20135,2135,Monsey New Square Trails Corporation,Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CB,DO,Bus,,,,,,,,,,,"1,130,068 ","1,129,479 ","1,097,867 ","1,101,868 ","1,096,406 ","1,095,593 ","1,099,948 ","1,104,656 ","648,245 ","758,064 ","809,313 ","819,269 ",,,
20135,2135,Monsey New Square Trails Corporation,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,,,,,,"1,067,288 ","1,037,228 ","1,045,843 ","1,071,513 ","1,050,824 ",,,,,,,,,,,,,,,
20136,2136,Queens Surface Corporation,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,
20137,2137,Monroe Bus Corporation,Inactive,Full Reporter,71803,"Poughkeepsie--Newburgh, NY",CB,DO,Bus,,,,,,,,,,,"683,616 ","680,631 ","680,624 ","683,333 ","686,007 ","679,571 ","670,872 ",,,,,,,,
20137,2137,Monroe Bus Corporation,Inactive,Full Reporter,71803,"Poughkeepsie--Newburgh, NY",MB,DO,Bus,,,,,"708,988 ","697,180 ","682,035 ","657,755 ","648,581 ","670,834 ",,,,,,,,,,,,,,,
20145,2145,Tompkins Consolidated Area Transit,Inactive,Full Reporter,41914,"Ithaca, NY",DR,PT,Bus,,,,"349,805 ",,"368,429 ","378,402 ","389,508 ","397,755 ","417,856 ","468,004 ","474,123 ","462,748 ","468,362 ","440,605 ","431,342 ","432,933 ","441,127 ","290,318 ","294,445 ","322,531 ","356,885 ","314,704 ",,
20145,2145,Tompkins Consolidated Area Transit,Active,Full Reporter,41914,"Ithaca, NY",MB,DO,Bus,,,,"316,292 ",,"1,307,825 ","1,449,290 ","1,728,806 ","1,712,959 ","1,712,297 ","1,566,047 ","1,584,964 ","1,586,903 ","1,605,710 ","1,583,498 ","1,580,758 ","1,663,480 ","1,741,734 ","1,269,716 ","1,416,040 ","1,407,905 ","1,151,371 ","1,082,149 ","1,157,976 ","316,618 "
20145,2145,Tompkins Consolidated Area Transit,Inactive,Full Reporter,41914,"Ithaca, NY",MB,PT,Bus,,,,"120,765 ",,"227,628 ","173,064 ",,,,,,,,,,,,,,,,,,
20145,2145,Tompkins Consolidated Area Transit,Inactive,Full Reporter,41914,"Ithaca, NY",VP,PT,Bus,,,,,,,,,,"22,553 ","27,946 ","28,452 ","31,510 ","29,556 ","8,067 ",,,,,,,,,,
20147,2147,GTJC,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"12,176,873 ","12,663,425 ","12,476,341 ","11,962,047 ","719,772 ",,,,,,,,,,,,,,,,,,,,
20148,2148,Newburgh Beacon Bus Corporation,Inactive,Small Systems Reporter,71803,"Poughkeepsie--Newburgh, NY",DR,DO,Bus,,,,,,"61,436 ","60,480 ","62,366 ","72,360 ","90,488 ","135,469 ",,,,,,,,,,,,,,
20148,2148,Newburgh Beacon Bus Corporation,Active,Small Systems Reporter,71803,"Poughkeepsie--Newburgh, NY",MB,DO,Bus,,,,,,"226,405 ","261,281 ","251,598 ","252,583 ","228,430 ","189,884 ",,,,,,,,,,,,,,
20149,2149,"Rockland Coaches, Inc.",Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CB,DO,Bus,,,,,,,,,,,,,"3,256,340 ","3,212,400 ","3,158,619 ","3,096,270 ","3,123,903 ","3,093,758 ","1,021,242 ","831,852 ","875,974 ","900,320 ","909,325 ","969,501 ","214,460 "
20149,2149,"Rockland Coaches, Inc.",Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"4,512,959 ","4,563,836 ","4,198,066 ","4,425,425 ","4,275,656 ","4,292,785 ","4,306,508 ","3,821,044 ","3,466,602 ","3,426,070 ","3,325,782 ","3,433,078 ",,,,,,,,,,,,,
